                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0611,                 3.3125,                 1.0488,                0.46723,                0.42223,                0.49444,                0.36633,                0.95391,                 2.0782,                0.97802,             0.00010002,             0.00010002,             0.00010002
                      2,                 0.9463,                 1.3619,                0.98126,                0.66938,                0.64423,                0.67728,                0.51254,                0.92404,                 2.8212,                  0.981,             0.00021528,             0.00021528,             0.00021528
                      3,                 1.0363,                 1.3098,                 1.0461,                0.56418,                0.64918,                0.64995,                 0.4878,                0.91789,                 2.1804,                0.96741,               0.000329,               0.000329,               0.000329
                      4,                0.97198,                 1.1473,                0.95215,                0.61092,                 0.6735,                 0.6449,                0.49297,                0.89738,                 2.1696,                 0.9568,             0.00044118,             0.00044118,             0.00044118
                      5,                0.87844,                 0.9925,                0.96484,                0.44966,                0.61667,                0.49873,                0.37867,                0.90096,                 1.8809,                0.97695,             0.00055182,             0.00055182,             0.00055182
                      6,                0.86661,                0.88243,                0.96742,                0.76205,                0.69097,                0.81886,                0.62682,                0.91325,                 1.3523,                0.98679,             0.00066092,             0.00066092,             0.00066092
                      7,                 0.8884,                0.87251,                 1.0031,                0.80478,                0.81917,                0.87654,                0.67994,                0.86651,                 1.0334,                0.96571,             0.00076847,             0.00076847,             0.00076847
                      8,                0.84964,                0.83825,                0.95023,                0.75204,                0.77393,                0.80064,                0.60435,                0.88531,                0.94359,                0.97238,             0.00087449,             0.00087449,             0.00087449
                      9,                0.88135,                0.79319,                0.98084,                0.87303,                0.80184,                0.87505,                0.66761,                0.88515,                0.81426,                 0.9607,             0.00097897,             0.00097897,             0.00097897
                     10,                0.87451,                0.81667,                0.97463,                0.84055,                0.86259,                0.91265,                0.70529,                0.88428,                0.84982,                 0.9662,              0.0010819,              0.0010819,              0.0010819
                     11,                0.89139,                0.73479,                 0.9562,                0.86786,                0.85291,                0.92668,                0.70919,                0.92359,                0.80063,                0.99614,              0.0011833,              0.0011833,              0.0011833
                     12,                0.91459,                0.73726,                0.95891,                0.67711,                0.77436,                 0.7627,                0.58087,                0.94398,                 1.6737,                 1.0101,              0.0012832,              0.0012832,              0.0012832
                     13,                0.86603,                0.79363,                0.98603,                0.81585,                0.65513,                0.79852,                0.60279,                 1.0037,                 1.3467,                   1.06,              0.0013815,              0.0013815,              0.0013815
                     14,                0.85796,                0.79761,                0.95392,                0.81585,                0.65513,                0.79852,                0.60279,                 1.0037,                 1.3467,                   1.06,              0.0014783,              0.0014783,              0.0014783
                     15,                0.85937,                0.69247,                0.97074,                0.84787,                0.71752,                0.80056,                0.60147,                 1.0074,                 1.2229,                  1.062,               0.001513,               0.001513,               0.001513
                     16,                 0.9171,                0.81234,                0.96365,                0.83451,                0.82137,                0.87269,                0.66433,                0.90816,                 1.2233,                 1.0019,               0.001502,               0.001502,               0.001502
