                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59183,                 2.4924,                 1.0887,                0.74314,                0.45865,                0.50445,                0.43722,                0.44922,                  3.785,                 1.0373,                 0.0001,                 0.0001,                 0.0001
                      2,                0.67408,                 1.8041,                 1.1608,                0.37576,                0.28571,                0.29313,                0.22342,                0.86085,                 5.0786,                 1.4616,             0.00021782,             0.00021782,             0.00021782
                      3,                0.70458,                 1.4358,                 1.1335,                0.53063,                0.62902,                0.56177,                0.32735,                 1.0903,                 4.2406,                 1.7664,             0.00033327,             0.00033327,             0.00033327
                      4,                0.64267,                0.93554,                 1.0955,                0.56364,                0.69925,                0.57541,                0.43936,                0.67495,                 11.741,                 1.2227,             0.00044634,             0.00044634,             0.00044634
                      5,                0.63386,                0.99424,                 1.1273,                0.33613,                0.78947,                0.35703,                 0.2486,                0.89771,                 7.4805,                 1.4848,             0.00055703,             0.00055703,             0.00055703
                      6,                0.64967,                0.85164,                 1.1215,                0.33889,                0.72932,                0.35676,                0.21546,                 1.1412,                 6.3876,                 2.0785,             0.00066535,             0.00066535,             0.00066535
                      7,                 0.7622,                0.98477,                 1.1859,                0.22709,                0.42857,                0.15621,                0.06425,                 2.0485,                  30.81,                  6.544,             0.00077129,             0.00077129,             0.00077129
                      8,                0.78937,                0.99859,                 1.1876,                0.00267,                0.27068,                0.00148,                0.00047,                 3.2091,                    inf,                 15.181,             0.00087486,             0.00087486,             0.00087486
                      9,                0.81852,                0.92792,                 1.2332,                 0.0003,                0.04511,                0.00013,                  4e-05,                 5.0847,                    inf,                 2200.2,             0.00097605,             0.00097605,             0.00097605
                     10,                0.86627,                 1.1186,                 1.2499,                0.00634,                0.08271,                0.00159,                 0.0004,                 5.1434,                    inf,                 623.28,              0.0010749,              0.0010749,              0.0010749
                     11,                0.81203,                0.93274,                 1.2033,                0.00437,                0.18797,                0.00214,                0.00064,                 4.2376,                    inf,                 44.051,              0.0011713,              0.0011713,              0.0011713
                     12,                0.75796,                0.79165,                 1.1525,                0.00451,                0.15789,                0.00215,                0.00115,                 3.0811,                    inf,                 19.946,              0.0012654,              0.0012654,              0.0012654
                     13,                0.80195,                0.88136,                 1.1833,                0.00113,                0.21805,                0.00069,                0.00026,                 4.0951,                    inf,                 27.648,               0.001357,               0.001357,               0.001357
                     14,                0.79768,                0.95618,                  1.171,                0.04218,                0.25564,                0.01739,                0.00609,                 3.1474,                 113.62,                 6.1468,              0.0014464,              0.0014464,              0.0014464
