                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.067,                 3.4673,                 1.0395,                0.40032,                0.43068,                0.39111,                0.28169,                0.91191,                 1.7304,                0.97988,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                0.89661,                 1.6218,                0.99437,                0.64137,                0.80757,                0.76424,                0.57659,                0.86038,                 1.9682,                0.94763,             0.00018155,             0.00018155,             0.00018155
                      3,                0.88509,                  1.109,                0.94575,                0.66235,                0.68685,                0.70406,                0.53693,                0.85224,                 1.9873,                0.94007,             0.00027778,             0.00027778,             0.00027778
                      4,                0.88426,                 0.8716,                0.95577,                0.64395,                0.76225,                0.82682,                0.63231,                0.82513,                  2.783,                0.92525,             0.00037202,             0.00037202,             0.00037202
                      5,                 0.8685,                 0.8404,                0.97257,                0.68753,                0.75247,                0.80784,                0.64402,                0.82772,                 2.3282,                0.92532,             0.00046429,             0.00046429,             0.00046429
                      6,                0.90248,                0.81665,                0.96013,                0.58733,                 0.6928,                0.67121,                0.52326,                0.87214,                 2.6325,                0.94265,             0.00055457,             0.00055457,             0.00055457
                      7,                0.95389,                 0.8204,                0.98129,                0.71699,                0.69025,                0.77921,                0.60908,                 0.8538,                  1.923,                0.92334,             0.00064287,             0.00064287,             0.00064287
                      8,                0.84391,                0.73916,                0.92369,                0.61923,                0.73038,                 0.6599,                0.51554,                0.83072,                 1.7073,                0.91363,             0.00072919,             0.00072919,             0.00072919
                      9,                0.85434,                0.69422,                0.92784,                0.68753,                0.78138,                0.73144,                0.55917,                 0.8232,                 1.3229,                0.91266,             0.00081354,             0.00081354,             0.00081354
                     10,                0.85123,                0.86172,                0.92046,                0.82481,                0.84669,                0.93225,                0.71914,                0.83965,                0.88682,                0.91821,              0.0008959,              0.0008959,              0.0008959
                     11,                0.84239,                 0.7136,                0.93882,                0.89305,                0.92252,                0.95274,                0.75104,                0.78448,                0.88777,                0.90826,             0.00097628,             0.00097628,             0.00097628
                     12,                0.80299,                   0.63,                0.91417,                0.86766,                0.89286,                0.93844,                0.72716,                0.82982,                0.98954,                0.93123,              0.0010547,              0.0010547,              0.0010547
                     13,                0.80175,                0.61529,                0.92908,                0.79806,                0.85766,                0.87862,                0.67556,                0.83888,                0.92913,                0.94628,              0.0011311,              0.0011311,              0.0011311
                     14,                0.84129,                0.71132,                0.92635,                0.88263,                0.85129,                0.93209,                0.73858,                0.79612,                0.84547,                0.92197,              0.0012055,              0.0012055,              0.0012055
                     15,                0.82437,                0.66438,                0.95807,                0.88263,                0.85129,                0.93209,                0.73858,                0.79612,                0.84547,                0.92197,               0.001278,               0.001278,               0.001278
                     16,                0.81657,                0.60946,                0.92624,                0.77574,                0.80348,                0.80691,                0.64156,                 0.7789,                 1.1801,                0.91331,              0.0013485,              0.0013485,              0.0013485
                     17,                0.77173,                0.68029,                0.92319,                0.61824,                0.70038,                0.58632,                 0.4574,                0.79473,                 1.3012,                0.91566,              0.0014029,              0.0014029,              0.0014029
                     18,                 0.8184,                0.61341,                 0.9151,                0.47413,                 0.7306,                0.47373,                0.36255,                0.82729,                 1.9045,                0.92633,              0.0013864,              0.0013864,              0.0013864
                     19,                 0.7911,                0.61038,                0.91951,                0.47413,                 0.7306,                0.47373,                0.36255,                0.82729,                 1.9045,                0.92633,              0.0013699,              0.0013699,              0.0013699
                     20,                0.77572,                0.57463,                 0.9186,                0.58456,                0.74331,                0.57449,                 0.4516,                0.81311,                 1.3987,                0.93441,              0.0013534,              0.0013534,              0.0013534
                     21,                0.81371,                0.59157,                0.92707,                0.61275,                0.71064,                0.62064,                0.49943,                 0.7623,                    1.1,                0.91542,              0.0013369,              0.0013369,              0.0013369
                     22,                0.79202,                0.61034,                0.91212,                0.73077,                 0.8628,                0.83998,                0.68213,                0.73313,                0.80878,                   0.91,              0.0013204,              0.0013204,              0.0013204
                     23,                0.74308,                0.57215,                0.90972,                0.73077,                 0.8628,                0.83998,                0.68213,                0.73313,                0.80878,                   0.91,              0.0013039,              0.0013039,              0.0013039
                     24,                0.79871,                0.54778,                0.93768,                  0.796,                0.79241,                0.75428,                0.58822,                0.77915,                0.74945,                0.92239,              0.0012874,              0.0012874,              0.0012874
