                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0126,                 3.5053,                 1.0259,                0.07992,                 0.0988,                0.04715,                0.03259,                0.96348,                 3.0638,                 1.0117,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.88566,                 1.8264,                0.96184,                0.75039,                0.76905,                0.81347,                0.61231,                0.86551,                 1.6747,                0.94813,             0.00014854,             0.00014854,             0.00014854
                      3,                0.85232,                0.98605,                 0.9544,                0.71248,                0.79193,                0.85309,                0.63233,                0.90017,                 1.5614,                0.93961,             0.00022876,             0.00022876,             0.00022876
                      4,                0.92331,                0.89111,                0.96281,                0.83521,                0.86118,                 0.9255,                0.70564,                0.84892,                 1.4156,                0.91644,             0.00030732,             0.00030732,             0.00030732
                      5,                0.92999,                0.79654,                0.95107,                0.91185,                0.88939,                0.95295,                0.73255,                 0.8392,                0.83616,                0.91311,             0.00038424,             0.00038424,             0.00038424
                      6,                  0.845,                0.75782,                0.91748,                0.92457,                 0.8766,                0.94968,                0.73165,                0.82103,                0.83559,                0.91471,              0.0004595,              0.0004595,              0.0004595
                      7,                0.93527,                0.73324,                0.96573,                0.90752,                0.86538,                0.93921,                0.71802,                0.82062,                0.81256,                0.91611,             0.00053311,             0.00053311,             0.00053311
                      8,                0.81425,                 0.6324,                0.91642,                0.97891,                0.88431,                0.96639,                0.75025,                0.83003,                0.74921,                0.91868,             0.00060508,             0.00060508,             0.00060508
                      9,                0.89143,                0.62859,                0.94548,                0.93627,                0.85111,                0.94403,                0.73662,                0.83506,                0.74288,                0.91558,             0.00067539,             0.00067539,             0.00067539
                     10,                0.87133,                 0.5881,                0.92104,                 0.8427,                0.84019,                0.91414,                0.70817,                0.83399,                0.81259,                0.92153,             0.00074405,             0.00074405,             0.00074405
                     11,                0.84228,                 0.5938,                0.91099,                0.93931,                0.77793,                0.92704,                0.72629,                0.83773,                0.74254,                0.92298,             0.00081106,             0.00081106,             0.00081106
                     12,                0.85586,                0.58706,                0.93787,                0.90235,                0.81661,                0.91478,                0.70921,                0.81755,                 0.7482,                0.91375,             0.00087642,             0.00087642,             0.00087642
                     13,                0.84825,                0.61913,                  0.922,                 0.8821,                0.82613,                0.89493,                0.69989,                0.81712,                 0.8126,                0.91445,             0.00094013,             0.00094013,             0.00094013
                     14,                 0.8277,                0.60784,                0.89748,                 0.8821,                0.82613,                0.89493,                0.69989,                0.81712,                 0.8126,                0.91445,              0.0010022,              0.0010022,              0.0010022
                     15,                0.84474,                0.65569,                0.91776,                0.92747,                0.85751,                0.94254,                0.72915,                0.80391,                0.68915,                0.91403,              0.0010626,              0.0010626,              0.0010626
                     16,                 0.7921,                0.62747,                0.89051,                0.93056,                0.82173,                0.94498,                0.72877,                0.80337,                0.65739,                0.90885,              0.0011214,              0.0011214,              0.0011214
                     17,                0.80439,                0.55168,                0.90296,                0.92345,                0.90283,                0.96631,                0.75357,                0.80822,                0.66519,                0.91126,              0.0011785,              0.0011785,              0.0011785
                     18,                0.84293,                0.61637,                0.91621,                0.92345,                0.90283,                0.96631,                0.75357,                0.80822,                0.66519,                0.91126,              0.0012339,              0.0012339,              0.0012339
                     19,                  0.794,                0.60343,                0.90466,                0.88689,                0.91817,                0.96311,                 0.7561,                0.77085,                0.65239,                0.89275,              0.0012877,              0.0012877,              0.0012877
                     20,                0.75747,                0.58751,                0.90004,                0.92375,                0.93443,                0.98294,                0.79449,                0.79264,                 0.6244,                0.90062,              0.0013399,              0.0013399,              0.0013399
                     21,                0.83812,                0.55764,                0.89053,                0.92375,                0.93443,                0.98294,                0.79449,                0.79264,                 0.6244,                0.90062,              0.0013369,              0.0013369,              0.0013369
                     22,                0.83857,                 0.5701,                0.94267,                0.98196,                0.93523,                0.98849,                 0.7626,                0.80734,                0.54033,                0.90522,              0.0013204,              0.0013204,              0.0013204
