                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1047,                 3.4437,                  1.195,                0.50787,                0.53983,                0.51998,                0.36979,                0.98024,                 3.0749,                 1.1526,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                 1.0325,                 1.6044,                 1.1215,                0.67699,                0.46025,                0.57505,                0.41678,                 1.0672,                 3.5209,                 1.2473,              0.0001923,              0.0001923,              0.0001923
                      3,                 1.0534,                 1.6364,                 1.1965,                0.30924,                0.74398,                0.38255,                0.26999,                 1.1418,                 8.4787,                 1.3752,             0.00029129,             0.00029129,             0.00029129
                      4,                 1.0672,                 1.6926,                 1.2191,                0.27915,                0.62338,                 0.2831,                0.21905,                 1.2463,                 31.303,                 1.4703,             0.00038978,             0.00038978,             0.00038978
                      5,                 1.0668,                 1.4426,                 1.1746,                0.64405,                 0.5657,                0.58207,                0.39256,                 1.2601,                 2.5951,                 1.4685,             0.00048778,             0.00048778,             0.00048778
                      6,                 1.1322,                 1.4088,                 1.2532,                0.51951,                0.61874,                0.53415,                0.36941,                 1.3297,                  6.594,                 1.6842,             0.00058529,             0.00058529,             0.00058529
                      7,                 1.0806,                 1.3217,                 1.2166,                0.58298,                0.53329,                0.50644,                0.36893,                 1.4805,                 3.8578,                 1.8196,              0.0006823,              0.0006823,              0.0006823
                      8,                 1.1406,                 1.2503,                 1.2381,                0.43115,                0.45965,                0.39614,                 0.2754,                 1.7868,                 4.6996,                 2.0548,             0.00070163,             0.00070163,             0.00070163
                      9,                  1.074,                 1.3394,                 1.1866,                0.45561,                0.53249,                0.45579,                0.31104,                 1.6124,                 4.2198,                 1.9107,             0.00069986,             0.00069986,             0.00069986
                     10,                 1.1267,                   1.35,                 1.2592,                0.67361,                0.44708,                 0.5195,                0.34806,                 1.4638,                 2.3575,                 1.7733,              0.0006981,              0.0006981,              0.0006981
                     11,                 1.1125,                 1.3781,                 1.2729,                0.60589,                0.63032,                0.65813,                0.45996,                 1.3238,                 2.1182,                  1.591,             0.00069633,             0.00069633,             0.00069633
                     12,                 1.1089,                 1.2235,                 1.2758,                0.60143,                0.69282,                 0.6482,                0.48717,                 1.3708,                 6.1321,                 1.6439,             0.00069456,             0.00069456,             0.00069456
                     13,                 1.1137,                 1.2143,                 1.2444,                0.50199,                 0.7686,                0.60064,                0.42212,                 1.3643,                 5.2674,                 1.6549,             0.00069279,             0.00069279,             0.00069279
                     14,                 1.1556,                 1.2806,                 1.2887,                0.68702,                0.72673,                 0.7628,                0.52073,                 1.3323,                 1.9824,                   1.55,             0.00069103,             0.00069103,             0.00069103
                     15,                 1.0815,                 1.2494,                 1.2527,                0.64314,                0.73187,                0.71328,                0.51724,                 1.3111,                 2.4545,                 1.5303,             0.00068926,             0.00068926,             0.00068926
                     16,                 1.1708,                 1.2558,                 1.3134,                0.67046,                0.69198,                0.70505,                0.50376,                 1.1572,                 2.8124,                 1.4327,             0.00068749,             0.00068749,             0.00068749
                     17,                 1.0412,                 1.1316,                 1.2056,                0.72568,                0.76885,                0.80667,                0.58715,                  1.195,                 1.5204,                 1.4509,             0.00068573,             0.00068573,             0.00068573
                     18,                 1.0712,                 1.1574,                  1.202,                0.78083,                0.65438,                0.74647,                0.52626,                 1.2407,                 1.6502,                 1.5129,             0.00068396,             0.00068396,             0.00068396
                     19,                 1.0644,                 1.0684,                 1.2238,                0.79099,                0.75012,                0.79483,                0.59062,                 1.0999,                 1.4368,                 1.3957,             0.00068219,             0.00068219,             0.00068219
                     20,                   0.95,                  1.077,                 1.1583,                0.82048,                0.82315,                0.89347,                0.67481,                 1.0386,                  1.095,                 1.3139,             0.00068042,             0.00068042,             0.00068042
