                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2747,                 3.8047,                 1.3894,                 0.7543,                0.36396,                0.40873,                0.31369,                0.75632,                 2.2376,                 1.0015,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                 1.0846,                 2.3156,                 1.1891,                0.61987,                0.56403,                0.52845,                0.40156,                0.88955,                   3.09,                 1.0768,              0.0001923,              0.0001923,              0.0001923
                      3,                 1.0217,                 1.6912,                 1.1101,                0.35402,                0.53039,                0.39839,                0.30194,                0.95392,                 3.3466,                 1.1444,             0.00029129,             0.00029129,             0.00029129
                      4,                0.98874,                 1.4728,                 1.0805,                0.52778,                0.60683,                0.58928,                0.45097,                0.99754,                 2.4192,                 1.2044,             0.00038978,             0.00038978,             0.00038978
                      5,                0.97495,                 1.3606,                 1.1036,                0.48395,                0.49669,                0.50758,                0.37788,                 1.0239,                 2.6076,                 1.2529,             0.00048778,             0.00048778,             0.00048778
                      6,                 1.0189,                 1.1717,                 1.1339,                0.58278,                0.60567,                 0.5489,                0.41168,                  1.084,                 5.4387,                 1.3372,             0.00058529,             0.00058529,             0.00058529
                      7,                0.96413,                 1.1544,                 1.1022,                0.63099,                0.64816,                 0.6605,                0.48233,                 1.0534,                 3.3415,                 1.3183,              0.0006823,              0.0006823,              0.0006823
                      8,                 1.0362,                 1.3935,                 1.1719,                0.77157,                0.69843,                0.73413,                0.52923,                 1.0841,                 2.2614,                 1.3273,             0.00070163,             0.00070163,             0.00070163
                      9,                0.97309,                 1.0777,                 1.1016,                0.69282,                0.55629,                0.51233,                0.37699,                 1.1509,                 5.1672,                 1.4989,             0.00069986,             0.00069986,             0.00069986
                     10,                 1.1076,                 1.2396,                 1.1625,                0.66365,                0.63261,                0.65909,                0.46524,                 1.0171,                 3.1752,                 1.2761,              0.0006981,              0.0006981,              0.0006981
                     11,                0.98289,                 1.0704,                 1.1572,                0.66151,                0.65761,                0.62409,                0.43886,                 1.0617,                 2.3643,                 1.3638,             0.00069633,             0.00069633,             0.00069633
                     12,                 1.0522,                 1.1152,                 1.1582,                0.81617,                0.46949,                0.63117,                0.42484,                 1.0845,                 2.6139,                  1.397,             0.00069456,             0.00069456,             0.00069456
                     13,                 1.2936,                 1.3635,                 1.3786,                0.56223,                0.73094,                0.60394,                0.41434,                 1.0926,                 1.4732,                 1.4655,             0.00069279,             0.00069279,             0.00069279
                     14,                 0.8778,                0.79139,                  1.047,                0.58646,                0.78139,                0.65506,                0.45928,                 1.0926,                 1.9193,                 1.4055,             0.00069103,             0.00069103,             0.00069103
                     15,                0.96643,                 1.0233,                 1.1183,                0.64207,                 0.6286,                0.64234,                0.46942,                 1.0977,                 1.7628,                 1.3821,             0.00068926,             0.00068926,             0.00068926
                     16,                0.97805,                0.84381,                  1.142,                0.59684,                0.58773,                0.65537,                0.47018,                 1.0592,                 1.3485,                 1.3065,             0.00068749,             0.00068749,             0.00068749
                     17,                0.97621,                0.89621,                 1.1819,                0.65415,                 0.7073,                0.66661,                0.48809,                 1.0068,                 1.9528,                 1.2629,             0.00068573,             0.00068573,             0.00068573
                     18,                0.99279,                 1.2065,                 1.1748,                0.61374,                0.69416,                0.68624,                0.48433,                 1.0952,                 1.7726,                 1.3458,             0.00068396,             0.00068396,             0.00068396
                     19,                 1.0074,                0.93708,                 1.1013,                0.72743,                0.64801,                0.71742,                0.50421,                  1.117,                 1.4186,                 1.4053,             0.00068219,             0.00068219,             0.00068219
                     20,                0.93516,                0.91638,                 1.1184,                0.61601,                0.80288,                 0.7072,                0.49535,                 1.0553,                  1.369,                 1.3033,             0.00068042,             0.00068042,             0.00068042
                     21,                0.93945,                0.85263,                 1.0715,                0.57997,                0.80243,                0.65103,                0.47289,                0.95253,                 1.4742,                 1.2275,             0.00067866,             0.00067866,             0.00067866
                     22,                0.93843,                 0.9129,                 1.1518,                0.80671,                0.71789,                0.82511,                0.62129,                  0.967,                 1.1608,                 1.2318,             0.00067689,             0.00067689,             0.00067689
                     23,                0.93869,                0.81107,                 1.1188,                0.84598,                0.74999,                0.84519,                0.64093,                0.93665,                 1.0997,                 1.1945,             0.00067512,             0.00067512,             0.00067512
                     24,                0.90519,                0.80447,                 1.0892,                0.89942,                0.77841,                0.87535,                0.66884,                0.92463,                0.92766,                 1.1849,             0.00067336,             0.00067336,             0.00067336
                     25,                0.92295,                0.78558,                 1.0832,                0.89819,                0.77352,                0.87635,                0.67031,                0.91747,                0.91754,                 1.1878,             0.00067159,             0.00067159,             0.00067159
                     26,                0.87713,                0.73906,                  1.064,                0.88566,                0.83421,                0.90092,                 0.6853,                0.91887,                0.96147,                 1.1931,             0.00066982,             0.00066982,             0.00066982
                     27,                0.98526,                0.93204,                 1.1506,                 0.8446,                 0.8235,                0.88422,                0.67384,                0.91546,                 1.0028,                 1.1801,             0.00066805,             0.00066805,             0.00066805
                     28,                 1.0003,                0.88991,                 1.1798,                 0.7518,                0.79022,                0.82342,                0.60811,                0.89251,                 1.0012,                 1.1811,             0.00066629,             0.00066629,             0.00066629
                     29,                0.87708,                0.77799,                 1.0889,                0.73204,                0.85861,                0.86614,                0.63829,                0.87571,                0.77178,                 1.1729,             0.00066452,             0.00066452,             0.00066452
