                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0286,                 3.9535,                 1.2479,                0.21458,                0.23907,                0.17103,                0.11642,                0.89784,                 2.7268,                 1.1353,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                0.96231,                 2.4863,                 1.1556,                0.64348,                0.65642,                0.70614,                0.52986,                0.84271,                  2.235,                 1.1201,             0.00010683,             0.00010683,             0.00010683
                      3,                0.96161,                 1.5764,                 1.1375,                0.72829,                0.72535,                0.77377,                0.58695,                0.92193,                 3.5197,                 1.1499,             0.00016341,             0.00016341,             0.00016341
                      4,                0.90201,                 1.2443,                 1.0789,                0.60702,                0.56373,                0.61647,                0.45398,                0.99089,                 3.5924,                 1.2072,              0.0002197,              0.0002197,              0.0002197
                      5,                 1.0007,                 1.1828,                 1.1434,                0.46207,                0.55813,                0.50531,                0.35341,                 1.0755,                 5.4389,                 1.3573,              0.0002757,              0.0002757,              0.0002757
                      6,                 1.0169,                 1.1944,                 1.1488,                0.42056,                0.59423,                0.44852,                0.29773,                 1.1361,                 8.2869,                 1.3868,             0.00033143,             0.00033143,             0.00033143
                      7,                0.93914,                 1.1958,                 1.1439,                0.36642,                0.63889,                0.44301,                0.31787,                  1.351,                 12.861,                 1.7591,             0.00038687,             0.00038687,             0.00038687
                      8,                  1.028,                 1.0929,                  1.189,                0.42643,                 0.5909,                0.41753,                0.29404,                 1.3462,                 15.878,                 1.7341,             0.00044203,             0.00044203,             0.00044203
                      9,                 1.0921,                 1.2504,                 1.2429,                0.37632,                0.60357,                0.43199,                0.28741,                  1.302,                 7.0516,                 1.5849,              0.0004969,              0.0004969,              0.0004969
                     10,                 1.0231,                 1.2186,                 1.1775,                0.37405,                0.53054,                0.43042,                0.27077,                 1.3255,                 3.6107,                 1.6532,              0.0005515,              0.0005515,              0.0005515
                     11,                 1.0604,                 1.1126,                 1.1845,                0.60309,                0.66625,                0.66042,                0.46462,                 1.1311,                 4.2606,                 1.4364,             0.00060581,             0.00060581,             0.00060581
                     12,                0.97179,                 1.0091,                  1.116,                0.57587,                0.60808,                0.56397,                0.39011,                 1.2922,                 4.7363,                 1.6105,             0.00065983,             0.00065983,             0.00065983
                     13,                 1.0618,                 1.0139,                 1.2024,                0.66242,                0.72138,                0.72982,                0.50579,                 1.3018,                 2.2258,                 1.5441,             0.00069279,             0.00069279,             0.00069279
                     14,                  1.105,                  1.076,                 1.1859,                0.61571,                0.61996,                0.60508,                0.41041,                 1.3509,                 3.3621,                 1.5644,             0.00069103,             0.00069103,             0.00069103
                     15,                 1.0976,                 1.1349,                 1.2559,                0.71941,                0.55702,                0.64108,                0.45675,                 1.5449,                  1.807,                 1.6887,             0.00068926,             0.00068926,             0.00068926
                     16,                0.99172,                 1.0688,                 1.0859,                0.47973,                0.61591,                0.50425,                0.36066,                 1.4934,                 2.8581,                 1.8162,             0.00068749,             0.00068749,             0.00068749
                     17,                 1.0106,                0.98385,                 1.1317,                0.53829,                0.67297,                0.59847,                 0.4315,                 1.3953,                 3.4724,                 1.6094,             0.00068573,             0.00068573,             0.00068573
                     18,                 1.0006,                0.96832,                 1.1911,                0.61569,                0.62131,                0.62258,                 0.4636,                 1.1534,                 2.4956,                 1.4467,             0.00068396,             0.00068396,             0.00068396
                     19,                 1.0173,                 1.0181,                 1.2082,                 0.6783,                0.60631,                0.65735,                0.47832,                 1.3213,                 2.6097,                 1.6028,             0.00068219,             0.00068219,             0.00068219
                     20,                 1.0719,                 1.1033,                 1.1864,                0.61325,                0.66166,                0.66523,                0.46179,                  1.167,                 3.4268,                 1.5442,             0.00068042,             0.00068042,             0.00068042
                     21,                0.99993,                0.93617,                 1.1448,                0.72994,                0.56327,                0.67323,                0.46306,                 1.4097,                 1.8552,                 1.6416,             0.00067866,             0.00067866,             0.00067866
                     22,                 1.0713,                  1.029,                 1.2026,                0.67068,                0.62932,                0.68756,                0.48071,                 1.2686,                 1.5558,                 1.4925,             0.00067689,             0.00067689,             0.00067689
                     23,                0.93374,                0.87666,                 1.1181,                 0.6136,                0.56896,                0.62034,                0.44468,                 1.2706,                 2.1211,                 1.5081,             0.00067512,             0.00067512,             0.00067512
                     24,                 1.0184,                0.95407,                 1.1954,                0.73465,                0.74632,                0.79138,                0.58392,                 1.1132,                 2.1874,                  1.417,             0.00067336,             0.00067336,             0.00067336
                     25,                 1.0047,                0.98376,                 1.1966,                0.81345,                0.78861,                0.84967,                0.62726,                 1.0285,                 1.8266,                 1.3458,             0.00067159,             0.00067159,             0.00067159
                     26,                  1.004,                0.86821,                  1.179,                0.78345,                0.75433,                0.80324,                0.58124,                 1.0405,                 2.3058,                 1.3538,             0.00066982,             0.00066982,             0.00066982
                     27,                0.97951,                0.90792,                 1.1572,                0.74787,                0.75623,                 0.8058,                0.59322,                 1.0124,                 1.5368,                 1.3036,             0.00066805,             0.00066805,             0.00066805
                     28,                0.96034,                0.81067,                 1.1293,                0.82691,                0.77554,                 0.8541,                0.64132,                 1.0937,                 1.5858,                 1.2923,             0.00066629,             0.00066629,             0.00066629
                     29,                0.93321,                0.83903,                 1.1037,                0.84243,                0.85635,                0.91491,                0.70488,                0.96965,                 1.4906,                 1.2304,             0.00066452,             0.00066452,             0.00066452
                     30,                0.92387,                0.80096,                 1.1306,                 0.7887,                0.84166,                0.88381,                0.67726,                  1.005,                 1.3655,                  1.254,             0.00066275,             0.00066275,             0.00066275
                     31,                0.99538,                0.81587,                 1.1648,                0.80775,                0.86248,                0.89907,                0.69852,                0.97238,                 1.0368,                 1.2131,             0.00066099,             0.00066099,             0.00066099
                     32,                0.86956,                0.81152,                 1.0713,                0.85846,                0.85198,                0.92586,                0.70687,                0.93875,                 1.0141,                 1.2043,             0.00065922,             0.00065922,             0.00065922
                     33,                0.93558,                0.80804,                 1.1115,                0.87085,                0.89348,                0.93626,                0.72994,                0.97375,                0.93596,                  1.182,             0.00065745,             0.00065745,             0.00065745
                     34,                0.95143,                0.86682,                 1.1476,                0.90101,                0.89409,                0.94618,                0.72112,                0.95722,                 1.0216,                 1.2379,             0.00065568,             0.00065568,             0.00065568
                     35,                0.96118,                 0.8046,                 1.1857,                0.81765,                0.83984,                0.89175,                  0.668,                0.92586,                 1.1302,                 1.2152,             0.00065392,             0.00065392,             0.00065392
                     36,                0.83487,                0.71004,                 1.0866,                0.89928,                0.89557,                0.93881,                0.72902,                0.88406,                0.90786,                 1.1718,             0.00065215,             0.00065215,             0.00065215
                     37,                0.98365,                0.88439,                 1.1925,                0.82765,                0.81917,                0.87653,                0.67744,                0.86864,                0.85779,                 1.1703,             0.00065038,             0.00065038,             0.00065038
                     38,                0.87923,                0.76892,                 1.0602,                0.86322,                0.82516,                0.93037,                0.73568,                0.85771,                0.77434,                  1.143,             0.00064862,             0.00064862,             0.00064862
                     39,                0.84522,                 0.7196,                 1.0473,                0.91356,                0.89595,                0.96181,                0.75109,                0.93792,                0.81865,                 1.2374,             0.00064685,             0.00064685,             0.00064685
                     40,                 0.8689,                0.76632,                 1.0961,                0.91169,                0.92947,                0.97034,                0.77361,                0.90545,                0.73419,                 1.1825,             0.00064508,             0.00064508,             0.00064508
                     41,                0.88647,                0.75507,                 1.0917,                0.92263,                0.92606,                0.97238,                0.76829,                0.89322,                0.74322,                 1.1281,             0.00064331,             0.00064331,             0.00064331
                     42,                0.82157,                0.69492,                 1.0922,                0.92524,                0.91501,                0.96822,                0.76706,                0.85342,                0.72568,                 1.1246,             0.00064155,             0.00064155,             0.00064155
                     43,                0.87786,                0.65803,                 1.0926,                0.93133,                0.93889,                0.97742,                0.77361,                0.84881,                0.74582,                 1.1466,             0.00063978,             0.00063978,             0.00063978
                     44,                0.93371,                0.72406,                 1.0995,                0.91744,                0.95045,                0.96872,                0.78532,                0.76065,                0.71566,                 1.0892,             0.00063801,             0.00063801,             0.00063801
                     45,                0.86836,                0.64633,                   1.05,                0.91726,                0.95004,                0.96756,                0.79243,                0.77403,                0.68484,                 1.0943,             0.00063625,             0.00063625,             0.00063625
                     46,                0.87311,                0.75188,                 1.1385,                0.93128,                0.92689,                0.97305,                0.79753,                 0.7427,                0.68709,                 1.0809,             0.00063448,             0.00063448,             0.00063448
                     47,                0.83049,                0.67426,                 1.0931,                0.90952,                0.89798,                0.95874,                0.78532,                0.74085,                0.67962,                 1.0807,             0.00063271,             0.00063271,             0.00063271
                     48,                0.83018,                0.71886,                 1.0768,                0.91184,                0.94172,                0.97827,                0.79245,                0.76397,                0.69207,                 1.0895,             0.00063094,             0.00063094,             0.00063094
                     49,                0.85182,                 0.7485,                 1.1057,                0.91388,                0.93886,                0.97812,                0.79486,                0.76722,                0.69762,                 1.1136,             0.00062918,             0.00062918,             0.00062918
                     50,                0.86778,                  0.739,                 1.0919,                0.92031,                0.90924,                0.95966,                0.77471,                0.75435,                0.71207,                 1.0853,             0.00062741,             0.00062741,             0.00062741
                     51,                0.83311,                 0.6924,                 1.1003,                0.92925,                0.95714,                0.97701,                0.80109,                0.75459,                0.65977,                 1.0843,             0.00062564,             0.00062564,             0.00062564
                     52,                0.75323,                0.60387,                 1.0284,                0.92085,                0.93981,                 0.9742,                0.80049,                0.77894,                0.62269,                  1.109,             0.00062388,             0.00062388,             0.00062388
                     53,                0.78822,                0.62135,                 1.0577,                0.91751,                0.96777,                0.97949,                0.79488,                0.80545,                 0.6671,                 1.1137,             0.00062211,             0.00062211,             0.00062211
                     54,                0.84189,                0.75549,                 1.1214,                0.94331,                0.91491,                0.97646,                0.80107,                0.79927,                0.64443,                  1.096,             0.00062034,             0.00062034,             0.00062034
                     55,                0.83971,                0.68278,                 1.1261,                0.93714,                0.92669,                0.96998,                0.78954,                 0.7793,                0.66543,                 1.0784,             0.00061857,             0.00061857,             0.00061857
                     56,                0.79336,                0.65996,                 1.0409,                0.92384,                0.92743,                0.97803,                0.80134,                0.73315,                0.62707,                 1.0611,             0.00061681,             0.00061681,             0.00061681
                     57,                0.80231,                 0.7269,                 1.0687,                0.93119,                0.95123,                0.98019,                0.80892,                0.69137,                0.57332,                 1.0366,             0.00061504,             0.00061504,             0.00061504
                     58,                0.74401,                0.64446,                 1.0592,                0.93961,                0.97351,                 0.9872,                0.82745,                0.68455,                0.55621,                 1.0425,             0.00061327,             0.00061327,             0.00061327
                     59,                0.74001,                0.61259,                 1.0397,                0.96151,                0.96236,                0.98367,                0.81671,                0.73055,                0.56767,                   1.05,             0.00061151,             0.00061151,             0.00061151
                     60,                0.73721,                0.55194,                 1.0133,                0.94209,                0.98163,                0.98631,                0.80913,                0.71676,                0.55765,                  1.049,             0.00060974,             0.00060974,             0.00060974
                     61,                0.75504,                0.58607,                 1.0325,                0.96136,                0.95956,                0.98584,                0.82262,                 0.6918,                0.57888,                  1.034,             0.00060797,             0.00060797,             0.00060797
                     62,                 0.7842,                0.65967,                 1.0649,                0.94687,                0.96426,                0.98033,                0.82051,                0.70084,                0.59733,                 1.0345,              0.0006062,              0.0006062,              0.0006062
                     63,                0.79341,                0.67303,                 1.0638,                0.94305,                 0.9729,                0.98408,                0.82865,                0.69194,                0.57338,                 1.0333,             0.00060444,             0.00060444,             0.00060444
                     64,                0.84688,                0.75439,                 1.1394,                0.95738,                0.96283,                0.98644,                 0.8314,                0.67762,                0.52842,                 1.0221,             0.00060267,             0.00060267,             0.00060267
                     65,                0.82117,                0.65886,                 1.0697,                0.94142,                0.95812,                0.98258,                0.81857,                0.71911,                0.60028,                  1.041,              0.0006009,              0.0006009,              0.0006009
                     66,                0.79005,                0.57212,                 1.0863,                0.91463,                0.95264,                0.98009,                0.81706,                0.74844,                0.61786,                  1.039,             0.00059914,             0.00059914,             0.00059914
                     67,                0.83653,                0.65642,                 1.1129,                0.96317,                0.95729,                0.98425,                0.82715,                0.71807,                0.58832,                 1.0451,             0.00059737,             0.00059737,             0.00059737
                     68,                0.74883,                0.56771,                 1.0327,                0.95635,                0.97138,                0.98579,                0.83473,                0.67468,                 0.5522,                 1.0396,              0.0005956,              0.0005956,              0.0005956
                     69,                0.75999,                0.59522,                 1.0517,                0.96637,                0.96277,                0.98827,                0.83558,                0.70797,                0.51565,                 1.0465,             0.00059383,             0.00059383,             0.00059383
                     70,                 0.7868,                0.64591,                 1.0846,                0.96649,                0.97588,                0.98872,                0.83919,                0.67137,                0.50985,                 1.0412,             0.00059207,             0.00059207,             0.00059207
                     71,                0.73476,                0.56714,                 1.0278,                0.96501,                0.96875,                0.98764,                 0.8432,                0.65104,                0.51963,                 1.0248,              0.0005903,              0.0005903,              0.0005903
                     72,                0.71702,                0.54711,                 1.0071,                0.96615,                0.98305,                0.98962,                 0.8427,                 0.6754,                0.50486,                 1.0252,             0.00058853,             0.00058853,             0.00058853
                     73,                0.74826,                0.60342,                 1.0676,                0.96581,                0.97365,                0.98714,                0.84882,                0.66048,                0.55773,                 1.0176,             0.00058677,             0.00058677,             0.00058677
                     74,                0.77531,                0.62298,                 1.0653,                0.98173,                0.96651,                0.98983,                 0.8489,                0.65108,                0.56637,                0.99758,               0.000585,               0.000585,               0.000585
                     75,                0.77766,                0.62197,                 1.0622,                0.96812,                 0.9667,                0.98249,                0.84261,                0.65479,                0.55617,                 1.0068,             0.00058323,             0.00058323,             0.00058323
                     76,                0.74116,                0.61097,                  1.022,                0.97822,                0.97119,                0.98884,                0.84748,                0.65145,                0.52173,                 1.0091,             0.00058146,             0.00058146,             0.00058146
                     77,                 0.8558,                 0.7038,                 1.1089,                0.95968,                0.97852,                0.98773,                0.84935,                0.65555,                0.54922,                 1.0174,              0.0005797,              0.0005797,              0.0005797
                     78,                0.79731,                0.60744,                 1.0407,                0.96261,                0.97762,                0.98472,                 0.8432,                0.67216,                0.66799,                 1.0164,             0.00057793,             0.00057793,             0.00057793
                     79,                 0.7509,                0.55281,                 1.0458,                0.95753,                0.96093,                0.98728,                0.84523,                0.69038,                 0.7038,                 1.0293,             0.00057616,             0.00057616,             0.00057616
                     80,                0.72217,                 0.6048,                 1.0496,                0.96905,                0.96511,                0.98914,                0.85008,                0.64166,                0.53067,                 1.0106,              0.0005744,              0.0005744,              0.0005744
                     81,                0.68488,                0.55558,                0.99771,                0.97036,                0.97139,                0.98872,                0.84498,                0.63529,                0.49493,                 1.0126,             0.00057263,             0.00057263,             0.00057263
                     82,                0.71297,                 0.5573,                 1.0009,                 0.9738,                0.96942,                0.99013,                0.83991,                0.64963,                0.53089,                  1.017,             0.00057086,             0.00057086,             0.00057086
                     83,                 0.7537,                0.61164,                 1.0128,                0.96321,                0.96439,                 0.9912,                 0.8415,                0.65317,                0.55522,                  1.018,             0.00056909,             0.00056909,             0.00056909
                     84,                0.72933,                 0.5504,                0.98713,                0.97057,                0.95571,                 0.9926,                0.85624,                0.63333,                0.52383,                  1.006,             0.00056733,             0.00056733,             0.00056733
                     85,                0.78763,                 0.6597,                 1.1043,                0.97147,                0.97673,                0.99179,                0.86522,                0.60774,                0.49182,                0.98444,             0.00056556,             0.00056556,             0.00056556
                     86,                0.72535,                0.52122,                 1.0025,                 0.9695,                0.97055,                0.99106,                 0.8607,                0.59912,                0.48685,                0.98895,             0.00056379,             0.00056379,             0.00056379
                     87,                0.73524,                0.57712,                  1.045,                0.94808,                0.97149,                0.98829,                0.85725,                0.60483,                0.51605,                0.98166,             0.00056203,             0.00056203,             0.00056203
                     88,                0.75753,                0.57816,                 1.0364,                0.97498,                0.98784,                0.99132,                0.86024,                0.61079,                0.45085,                0.98073,             0.00056026,             0.00056026,             0.00056026
                     89,                0.79238,                 0.5903,                 1.0751,                0.97566,                0.98596,                0.99326,                0.87309,                0.58462,                0.44499,                0.96703,             0.00055849,             0.00055849,             0.00055849
                     90,                0.70186,                0.53316,                0.98188,                0.97467,                0.98689,                0.99216,                0.86856,                0.61813,                0.43133,                 0.9729,             0.00055672,             0.00055672,             0.00055672
                     91,                0.71649,                0.58034,                0.99116,                0.97724,                0.98716,                0.99291,                0.87491,                0.59802,                0.45836,                0.97097,             0.00055496,             0.00055496,             0.00055496
                     92,                0.67863,                 0.5823,                0.98849,                0.97103,                0.98715,                 0.9928,                0.87512,                0.58744,                0.43495,                0.98736,             0.00055319,             0.00055319,             0.00055319
                     93,                0.65869,                0.50075,                0.98108,                0.95934,                0.96761,                 0.9911,                0.86553,                0.60617,                0.45584,                0.99711,             0.00055142,             0.00055142,             0.00055142
                     94,                0.61255,                0.59163,                0.99949,                0.97334,                  0.976,                0.99143,                0.86709,                0.60555,                0.47665,                0.98514,             0.00054966,             0.00054966,             0.00054966
                     95,                0.67615,                0.60118,                  1.013,                0.96571,                0.98094,                 0.9901,                0.86643,                0.58127,                 0.5029,                0.97884,             0.00054789,             0.00054789,             0.00054789
                     96,                0.68529,                0.56925,                 1.0276,                0.98018,                0.98794,                0.99229,                0.87421,                0.56538,                0.42964,                0.95886,             0.00054612,             0.00054612,             0.00054612
                     97,                0.64878,                0.51181,                0.96991,                0.97466,                0.98945,                0.99323,                0.87551,                0.56409,                0.42478,                0.95971,             0.00054435,             0.00054435,             0.00054435
                     98,                0.56509,                0.46564,                 0.9314,                0.98698,                0.98729,                0.99211,                0.88151,                0.56004,                0.41655,                 0.9578,             0.00054259,             0.00054259,             0.00054259
                     99,                0.68448,                0.52742,                0.99214,                0.98733,                0.98328,                0.99362,                0.87716,                0.57021,                0.41452,                0.95977,             0.00054082,             0.00054082,             0.00054082
                    100,                0.66454,                0.55393,                 1.0479,                0.98419,                 0.9833,                0.99304,                0.87762,                 0.5855,                0.41909,                0.96759,             0.00053905,             0.00053905,             0.00053905
                    101,                0.70943,                0.53605,                0.98029,                0.97796,                0.98958,                0.99325,                0.87836,                0.57604,                0.42586,                  0.961,             0.00053728,             0.00053728,             0.00053728
                    102,                0.62037,                0.51246,                0.98989,                0.97242,                 0.9867,                0.99085,                0.87731,                0.56641,                0.43154,                 0.9537,             0.00053552,             0.00053552,             0.00053552
                    103,                0.64756,                0.53699,                0.99316,                0.96882,                0.98675,                0.99027,                 0.8737,                0.58316,                0.44277,                0.95456,             0.00053375,             0.00053375,             0.00053375
                    104,                0.72617,                0.55685,                 1.0228,                 0.9825,                0.98781,                0.99341,                0.88784,                0.54453,                0.41107,                0.94345,             0.00053198,             0.00053198,             0.00053198
                    105,                0.67614,                0.51189,                0.97531,                0.98427,                0.98902,                0.99385,                0.89033,                0.54759,                0.40536,                0.94097,             0.00053022,             0.00053022,             0.00053022
                    106,                0.69249,                0.50492,                 1.0289,                0.99047,                0.98803,                0.99384,                 0.8896,                0.55431,                0.39847,                0.94188,             0.00052845,             0.00052845,             0.00052845
                    107,                 0.7014,                0.55145,                 1.0253,                0.98313,                0.99166,                0.99369,                0.89009,                0.53504,                0.39705,                0.94649,             0.00052668,             0.00052668,             0.00052668
                    108,                0.69698,                0.51803,                0.97997,                0.99245,                0.98215,                 0.9938,                0.88467,                0.53717,                0.39216,                0.94779,             0.00052491,             0.00052491,             0.00052491
                    109,                0.70713,                 0.5552,                 1.0272,                0.98858,                0.98179,                0.99338,                0.88425,                 0.5644,                0.39689,                0.95444,             0.00052315,             0.00052315,             0.00052315
                    110,                0.66877,                0.49841,                 1.0008,                0.98358,                0.99086,                0.99327,                0.88237,                0.55891,                 0.4038,                0.95527,             0.00052138,             0.00052138,             0.00052138
                    111,                0.67192,                0.54326,                 1.0272,                 0.9909,                0.99252,                0.99314,                0.87737,                0.55874,                0.39863,                0.94451,             0.00051961,             0.00051961,             0.00051961
