                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1085,                 4.4838,                 1.2374,                0.08264,                0.09808,                0.05174,                0.03031,                0.94416,                 3.4377,                   1.17,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.0054,                 2.6405,                 1.1819,                0.58317,                0.58286,                0.58549,                0.43426,                0.87174,                   2.09,                 1.0889,              9.259e-05,              9.259e-05,              9.259e-05
                      3,                 1.0441,                 1.7042,                 1.1979,                0.66775,                0.64317,                0.69434,                0.50939,                0.89207,                 2.0506,                 1.1063,             0.00014209,             0.00014209,             0.00014209
                      4,                 1.1219,                 1.6104,                 1.2512,                0.38925,                0.70174,                0.41494,                0.29838,                0.97418,                 6.1164,                 1.1528,             0.00019135,             0.00019135,             0.00019135
                      5,                 1.0767,                 1.5078,                 1.2157,                0.36636,                0.67428,                0.39045,                0.28268,                 1.0403,                 26.661,                 1.2942,             0.00024036,             0.00024036,             0.00024036
                      6,                0.96821,                 1.0766,                 1.1145,                0.47693,                0.68246,                0.53515,                0.39774,                 1.0905,                 7.0262,                 1.3239,             0.00028912,             0.00028912,             0.00028912
                      7,                0.99383,                 1.0825,                 1.1135,                0.67608,                0.61173,                0.69288,                0.47659,                 1.2024,                 2.2069,                 1.4335,             0.00033763,             0.00033763,             0.00033763
                      8,                0.93312,                 1.1872,                 1.0805,                0.37092,                0.61014,                0.39517,                0.29228,                 1.2598,                 21.006,                 1.4533,              0.0003859,              0.0003859,              0.0003859
                      9,                0.97269,                 1.1336,                 1.1011,                0.41534,                0.67878,                0.43591,                0.30625,                 1.2707,                 12.354,                 1.5898,             0.00043391,             0.00043391,             0.00043391
                     10,                 1.0475,                 1.3005,                 1.2391,                0.55654,                0.59917,                0.48628,                0.35673,                 1.3038,                 27.069,                 1.7285,             0.00048169,             0.00048169,             0.00048169
                     11,                0.98565,                 1.1048,                 1.1236,                0.55055,                0.55241,                0.55588,                0.39012,                 1.2915,                 5.6464,                 1.6199,             0.00052921,             0.00052921,             0.00052921
                     12,                0.97632,                 1.1793,                 1.1816,                0.55084,                0.51228,                0.49069,                0.32673,                 1.3218,                 3.3087,                 1.6373,             0.00057649,             0.00057649,             0.00057649
                     13,                 1.0425,                 1.1482,                 1.1603,                0.67048,                0.61395,                0.65227,                0.43676,                 1.3331,                 2.1603,                 1.7896,             0.00062351,             0.00062351,             0.00062351
                     14,                  1.051,                 1.1298,                 1.2228,                0.54087,                 0.6349,                0.54041,                 0.3772,                 1.2111,                 4.8239,                  1.584,              0.0006703,              0.0006703,              0.0006703
                     15,                 1.0351,                  1.151,                 1.2231,                 0.4949,                0.65219,                 0.4921,                0.34537,                  1.286,                 6.7654,                 1.6653,             0.00068926,             0.00068926,             0.00068926
                     16,                 1.0991,                 1.1781,                 1.2242,                0.46154,                0.71738,                0.58142,                0.41614,                 1.1355,                 4.5061,                 1.4829,             0.00068749,             0.00068749,             0.00068749
                     17,                 1.0666,                 1.0287,                 1.1677,                0.60151,                0.71734,                0.62159,                0.44683,                 1.1064,                 5.6358,                 1.4057,             0.00068573,             0.00068573,             0.00068573
                     18,                0.97605,                0.89094,                 1.0973,                 0.6152,                0.66556,                0.67443,                0.47343,                 1.1962,                 4.6215,                 1.5566,             0.00068396,             0.00068396,             0.00068396
                     19,                 1.1001,                 1.0637,                 1.1538,                0.54126,                0.63938,                0.62814,                0.43088,                 1.1543,                 2.6617,                 1.4157,             0.00068219,             0.00068219,             0.00068219
                     20,                0.97998,                 1.0645,                  1.155,                0.69334,                0.64787,                0.71514,                0.49471,                 1.1494,                 2.0663,                 1.4237,             0.00068042,             0.00068042,             0.00068042
                     21,                 0.9989,                0.94108,                 1.1315,                0.75176,                0.73212,                0.77982,                0.55878,                 1.1015,                 1.4701,                 1.3623,             0.00067866,             0.00067866,             0.00067866
                     22,                 1.1173,                 1.0436,                 1.2758,                0.77761,                0.72472,                0.79489,                0.55971,                 1.1129,                 1.2746,                 1.3339,             0.00067689,             0.00067689,             0.00067689
                     23,                 1.1345,                 1.1586,                 1.3335,                0.74263,                0.66747,                0.71785,                0.52037,                 1.2037,                 1.6549,                 1.5078,             0.00067512,             0.00067512,             0.00067512
                     24,                 1.0604,                 1.0153,                 1.2114,                0.66438,                0.73587,                0.79019,                0.54187,                 1.2468,                 1.8197,                  1.515,             0.00067336,             0.00067336,             0.00067336
                     25,                   1.13,                  1.083,                 1.2366,                0.63891,                0.59293,                0.62592,                0.42234,                 1.1149,                 1.9097,                 1.3663,             0.00067159,             0.00067159,             0.00067159
                     26,                0.94867,                0.88453,                 1.0929,                0.75454,                0.78326,                0.82349,                0.59117,                 1.0186,                 1.4782,                 1.2747,             0.00066982,             0.00066982,             0.00066982
                     27,                 1.0355,                0.97741,                 1.2141,                 0.7982,                0.82697,                0.87095,                0.62913,                 1.0274,                 1.1304,                 1.3132,             0.00066805,             0.00066805,             0.00066805
                     28,                 1.0329,                0.99233,                 1.2138,                0.80179,                0.70949,                0.84563,                0.62827,                 0.9498,                  1.183,                 1.2379,             0.00066629,             0.00066629,             0.00066629
                     29,                 0.9836,                0.87972,                 1.1625,                0.83825,                0.83705,                  0.908,                0.68244,                0.94319,                   1.08,                 1.1955,             0.00066452,             0.00066452,             0.00066452
                     30,                0.98283,                0.98437,                 1.1228,                0.83702,                0.77142,                0.87695,                 0.6649,                0.96047,                0.99532,                 1.2023,             0.00066275,             0.00066275,             0.00066275
                     31,                0.97085,                0.89197,                  1.168,                0.86025,                0.81347,                0.88412,                0.66098,                0.94427,                 1.3059,                 1.2108,             0.00066099,             0.00066099,             0.00066099
                     32,                0.97354,                0.84253,                 1.1204,                0.87617,                0.83027,                0.90287,                0.68868,                 0.9109,                 1.0571,                 1.1786,             0.00065922,             0.00065922,             0.00065922
                     33,                 1.0155,                0.85334,                 1.1686,                0.86211,                0.86398,                0.91078,                0.68662,                0.92011,                0.92678,                 1.1753,             0.00065745,             0.00065745,             0.00065745
                     34,                0.91988,                0.77665,                 1.1032,                0.89876,                0.83132,                0.90339,                0.68155,                0.96304,                0.84454,                 1.2348,             0.00065568,             0.00065568,             0.00065568
                     35,                0.96555,                0.91196,                 1.1578,                0.88527,                0.85584,                0.91885,                0.70186,                0.90043,                0.92216,                 1.1725,             0.00065392,             0.00065392,             0.00065392
                     36,                 1.0059,                0.90354,                 1.1711,                0.89902,                0.85987,                0.92213,                0.71293,                0.88598,                0.82037,                 1.1673,             0.00065215,             0.00065215,             0.00065215
                     37,                0.84821,                0.71835,                 1.1149,                0.87768,                0.86455,                0.91609,                0.69467,                0.90876,                0.81273,                 1.1698,             0.00065038,             0.00065038,             0.00065038
                     38,                 0.9309,                0.75254,                 1.1307,                0.83719,                0.83957,                0.87112,                0.65451,                0.95882,                0.91189,                 1.2147,             0.00064862,             0.00064862,             0.00064862
                     39,                0.95435,                0.78764,                 1.1013,                0.88671,                0.89991,                0.94477,                0.73207,                0.83576,                0.80606,                 1.1115,             0.00064685,             0.00064685,             0.00064685
                     40,                0.92668,                0.96922,                  1.111,                0.84778,                  0.874,                0.92292,                  0.723,                0.81474,                0.87084,                 1.1154,             0.00064508,             0.00064508,             0.00064508
