                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0728,                 2.8696,                 1.1491,                0.40508,                0.54925,                0.44615,                0.33638,                0.84745,                    2.8,                 1.0203,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.0138,                  1.854,                 1.1151,                0.42588,                0.28948,                 0.2165,                0.14707,                  1.211,                 11.279,                 1.3862,             0.00038488,             0.00038488,             0.00038488
                      3,                 1.0619,                 1.6517,                 1.1708,                0.54011,                 0.5307,                0.41939,                0.29659,                 1.3009,                 3.7666,                 1.4839,             0.00058299,             0.00058299,             0.00058299
                      4,                 1.1679,                 1.7016,                 1.2361,                0.16481,                0.49767,                0.14128,                0.08948,                 1.3681,                 37.576,                 1.4618,             0.00078011,             0.00078011,             0.00078011
