                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97136,                 3.1172,                 1.0035,                0.62735,                0.65214,                0.66057,                0.48922,                0.93243,                 2.4908,                0.98918,             0.00011669,             0.00011669,             0.00011669
                      2,                0.94222,                 1.3922,                0.96559,                0.60929,                0.74573,                0.70585,                0.51927,                0.92729,                 1.6199,                0.96466,             0.00024922,             0.00024922,             0.00024922
                      3,                0.97597,                 1.0763,                0.96976,                0.61821,                0.55214,                0.64764,                0.49494,                0.88821,                 2.1995,                0.95475,             0.00038088,             0.00038088,             0.00038088
                      4,                0.90129,                0.94834,                0.93786,                0.54837,                0.72228,                 0.6798,                0.52778,                0.89122,                 2.4771,                 0.9588,             0.00051165,             0.00051165,             0.00051165
                      5,                0.88599,                0.88488,                0.95595,                0.57798,                0.76108,                0.63405,                0.47967,                 0.9115,                  2.836,                0.96681,             0.00064155,             0.00064155,             0.00064155
                      6,                0.88441,                0.75976,                0.93483,                0.69564,                0.72341,                0.79196,                0.60052,                0.90716,                 1.6873,                0.96154,             0.00077056,             0.00077056,             0.00077056
                      7,                0.92457,                0.84589,                0.94262,                0.84237,                0.77776,                 0.8751,                0.65881,                0.92009,                 1.0978,                0.97522,              0.0008987,              0.0008987,              0.0008987
                      8,                0.92728,                0.84575,                0.94613,                0.80101,                 0.7096,                0.81486,                0.61585,                0.90511,                 1.1365,                0.97566,               0.001026,               0.001026,               0.001026
                      9,                0.84222,                0.79364,                0.91484,                0.80152,                0.76239,                0.86233,                0.64195,                0.91929,                0.94555,                0.98113,              0.0011523,              0.0011523,              0.0011523
                     10,                0.88634,                0.73777,                0.93397,                0.70371,                0.87117,                0.80282,                 0.5945,                0.92354,                 1.0359,                0.96776,              0.0012778,              0.0012778,              0.0012778
                     11,                0.88878,                0.73007,                 0.9241,                0.78942,                0.86402,                0.88587,                0.66436,                0.91905,                0.83349,                0.95722,              0.0014024,              0.0014024,              0.0014024
                     12,                0.87561,                0.67657,                0.92977,                0.87314,                0.80922,                0.88701,                0.67135,                0.92381,                 0.8469,                0.97009,              0.0015262,              0.0015262,              0.0015262
                     13,                0.82873,                0.74494,                0.92408,                0.75694,                0.75362,                0.80042,                0.60286,                 1.0174,                 1.1726,                 1.0223,               0.001601,               0.001601,               0.001601
                     14,                0.86756,                0.86105,                 0.9483,                0.81793,                0.67894,                0.79923,                0.61266,                 0.9422,                 1.0693,                0.98478,              0.0015955,              0.0015955,              0.0015955
                     15,                0.84801,                0.77222,                0.93967,                0.86501,                0.90214,                0.94741,                0.72635,                0.87842,                0.76523,                0.95886,                0.00159,                0.00159,                0.00159
                     16,                0.85102,                0.75724,                0.96817,                0.91848,                0.84128,                0.92846,                0.70869,                0.89535,                0.73073,                0.97386,              0.0015845,              0.0015845,              0.0015845
                     17,                0.84746,                0.63786,                0.93901,                 0.9028,                0.82849,                0.91147,                0.71288,                0.84932,                0.83196,                0.94619,               0.001579,               0.001579,               0.001579
                     18,                0.90596,                0.64102,                 0.9488,                0.87431,                0.85769,                 0.9114,                0.67404,                0.99481,                0.78475,                 1.0111,              0.0015735,              0.0015735,              0.0015735
                     19,                0.89189,                0.59937,                0.93069,                0.86148,                0.88498,                0.91429,                0.69355,                0.86687,                0.67633,                0.95391,               0.001568,               0.001568,               0.001568
                     20,                0.85126,                 0.6223,                0.95175,                0.89349,                0.84345,                0.91265,                0.69516,                0.90088,                0.70997,                0.95892,              0.0015625,              0.0015625,              0.0015625
                     21,                 0.8132,                0.61165,                0.92637,                0.88803,                0.89832,                0.93288,                0.71986,                0.86166,                0.64635,                0.94733,               0.001557,               0.001557,               0.001557
