                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74737,                0.51853,                0.90677,                0.95003,                0.88905,                0.96449,                0.77625,                 0.7818,                0.54155,                0.93919,              0.0016092,              0.0016092,              0.0016092
                     37,                0.71986,                0.52436,                 0.8971,                 0.9367,                0.88915,                0.95687,                0.78296,                0.74532,                0.59809,                0.92595,              0.0016076,              0.0016076,              0.0016076
                     38,                0.75041,                0.53516,                0.90638,                 0.9367,                0.88915,                0.95687,                0.78296,                0.74532,                0.59809,                0.92595,              0.0016059,              0.0016059,              0.0016059
                     39,                0.78694,                0.51024,                  0.911,                0.93061,                0.91751,                0.95825,                0.77879,                0.72911,                0.57304,                0.91804,              0.0016043,              0.0016043,              0.0016043
                     40,                0.73028,                0.52603,                0.92008,                0.94006,                0.89863,                0.95459,                0.78093,                0.73326,                0.53785,                0.92101,              0.0016026,              0.0016026,              0.0016026
                     41,                0.76621,                0.54877,                0.92357,                0.95077,                0.95474,                0.96938,                0.78828,                0.75747,                0.50634,                0.93042,               0.001601,               0.001601,               0.001601
                     42,                0.75123,                0.48933,                0.92349,                0.92798,                0.95684,                 0.9581,                0.79848,                0.69952,                0.50569,                0.91048,              0.0015993,              0.0015993,              0.0015993
                     43,                0.71127,                0.49393,                0.91057,                0.94633,                0.92065,                0.93675,                0.77894,                0.68925,                0.50615,                0.90468,              0.0015977,              0.0015977,              0.0015977
                     44,                0.77053,                0.52072,                0.94241,                0.92985,                  0.946,                0.94659,                0.78113,                0.72691,                0.49373,                0.91102,               0.001596,               0.001596,               0.001596
                     45,                0.73065,                0.49254,                0.92438,                0.92256,                0.93539,                0.94695,                0.79257,                0.68363,                0.50071,                0.89456,              0.0015944,              0.0015944,              0.0015944
                     46,                0.73491,                0.52156,                0.89554,                0.92256,                0.93539,                0.94695,                0.79257,                0.68363,                0.50071,                0.89456,              0.0015927,              0.0015927,              0.0015927
                     47,                0.70795,                0.47597,                0.89826,                0.90294,                0.94867,                0.95008,                0.78767,                0.68779,                0.51301,                0.89187,              0.0015911,              0.0015911,              0.0015911
                     48,                0.72632,                0.50757,                0.89939,                0.90987,                0.95785,                0.96062,                0.79734,                0.67991,                0.50923,                0.88916,              0.0015894,              0.0015894,              0.0015894
                     49,                0.71196,                0.50054,                  0.912,                0.93756,                0.94231,                 0.9667,                0.80813,                0.65424,                0.49712,                0.88719,              0.0015878,              0.0015878,              0.0015878
                     50,                0.66201,                0.45035,                0.86887,                0.94028,                0.94642,                0.96273,                0.80482,                0.64989,                0.48816,                0.89631,              0.0015861,              0.0015861,              0.0015861
                     51,                0.70866,                0.45449,                0.91622,                0.91534,                0.93995,                0.94309,                0.77774,                0.66738,                0.53931,                 0.9019,              0.0015845,              0.0015845,              0.0015845
                     52,                0.67465,                0.46631,                0.88967,                0.92509,                0.92701,                0.95349,                0.80455,                 0.6422,                0.52678,                0.89103,              0.0015828,              0.0015828,              0.0015828
                     53,                0.69889,                0.51626,                0.92491,                0.95677,                0.94788,                  0.961,                0.80808,                0.64553,                0.47596,                0.88942,              0.0015812,              0.0015812,              0.0015812
                     54,                0.65463,                0.46553,                0.90629,                0.95677,                0.94788,                  0.961,                0.80808,                0.64553,                0.47596,                0.88942,              0.0015795,              0.0015795,              0.0015795
                     55,                0.70302,                0.50725,                0.89921,                0.95754,                0.95805,                0.95754,                0.79402,                0.67253,                0.46651,                0.89822,              0.0015779,              0.0015779,              0.0015779
                     56,                0.72116,                0.49191,                0.91169,                0.93986,                0.96864,                0.96948,                0.80325,                0.65932,                0.45721,                0.89384,              0.0015762,              0.0015762,              0.0015762
